labels,family,file_name,free_ener_reac,free_ener_barr,FEHA,FEPA,E$_{p}$(LA),E$_{p}$(LB),d,Mw,γ,λ,Φ,q$_{la}$(NPA),q$_{lb}$(NPA),q$_{la}$(ESP),q$_{lb}$(ESP),EF$_{la}$(NPA),EF$_{lb}$(NPA),EF$_{la}$(ESP),EF$_{lb}$(ESP),EP(NPA),EP(ESP)
52,II,4meborinane_dimethylaniline.log,6.7,11.44144995,-39.02227674,-189.2726436,0.15261,-0.31634,3.0745958388986674,257.228,85.6987277948718,120.2311713339254,101.90187382978084,1.35736,-0.52317,0.291064,-0.200568,0.5743530980704846,-0.22137407196140704,0.1231607754293537,-0.08486831214548901,-0.4619339050783152,-0.03797450293363519
35,I,4meborinane_metriazole.log,4.9,25.47194604,-46.47395799,-187.1127542,0.11135,-0.47118,2.587192332376161,219.139,115.13683267487932,251.4450659784598,90.07096172319267,1.2207,-0.26628,0.135545,-0.139366,0.7294768347401753,-0.15912598636406483,0.08100019461362913,-0.08328358200245702,-0.25127470573590127,-0.014602984272646228
88,V,bicyclo_biphenylene.log,16.1,20.58364314,-42.63736185,-187.7139088,0.12385,-0.33148,3.948278798059858,315.26699999999994,49.7011477758949,100.3331599521135,142.34125890672897,1.14902,-0.52079,0.338,-0.215286,0.2948301925152973,-0.13363093415261848,0.08672834682613922,-0.055240825073408904,-0.30311847587563795,-0.03685994415376987
112,VIII,bicyclo_dibenzofuran.log,33.9,57.30803838,-42.79549437,-183.6507815,0.11946,-0.33748,5.5646006368142,331.266,6.876479171248835,186.99709483723336,120.17048783672715,1.12812,-0.55026,0.429735,-0.403075,0.14572943725002643,-0.07108204813424064,0.05551274661972141,-0.0520688339179825,-0.22311010320963195,-0.06225619642101321
56,II,bicyclo_dimethylaniline.log,12.7,18.70989828,-37.54825575,-189.7137832,0.12039,-0.32266,3.0229223261304616,241.185,69.47361872026,124.58133711445771,119.3920357498313,1.19277,-0.52698,0.286314,-0.237729,0.5221108548841489,-0.23067479757778012,0.1253281414734611,-0.1040610439739043,-0.41586641453973816,-0.045032676041747884
39,I,bicyclo_metriazole.log,9.9,31.30465149,-39.09255786,-186.3503296,0.10527,-0.47346,2.5809146489725303,203.09599999999998,172.1364898558624,224.83372848908,45.374728834930096,1.05936,-0.24022,0.087955,-0.270689,0.6361452322521618,-0.14425200846890038,0.05281694032504427,-0.16254863009090906,-0.19720098787560372,-0.018449622892007075
101,VI,bicyclo_naphtoxanthene.log,24.0,32.81820561,-40.62242724,-193.3000028,0.11938,-0.34735,4.643864498325183,405.348,36.24883954508868,74.4064604271394,157.06723099730374,1.20883,-0.54146,0.520098,-0.162134,0.22421576358567769,-0.10043088552658443,0.0964686268618282,-0.030072879241250024,-0.281891554775579,-0.036316980894861225
95,VI,bicyclo_xanthene.log,19.1,23.40241806,-38.60247255,-192.7929747,0.12463,-0.33084,4.255981482099752,373.347,20.74673022360835,56.651929393022115,168.2431217314875,1.23734,-0.53562,0.44255,-0.09484,0.27324333966127473,-0.11828163446536276,0.0977288699687209,-0.020943635810266613,-0.3114412285802641,-0.01972350780966874
41,II,borole_dimethylaniline.log,2.3,13.52101809,-48.67902813,-188.2510573,0.08453,-0.31818,3.0118961732412024,183.061,57.95546283551027,132.42844933495797,126.97147656583437,0.82903,-0.51279,0.681215,-0.33491,0.3655529092132914,-0.22610988301446713,0.3003752880471543,-0.1476753854801677,-0.2822927944707443,-0.1514964012882853
30,I,ccl3_metriazole.log,-25.1,13.36163055,-86.32084299,-188.574225,0.00251,-0.49151,2.566410263588813,329.618,101.10427467854166,189.99415628278007,75.12900129069617,0.97045,-0.22286,0.564673,-0.282369,0.589360450504167,-0.1353442938836196,0.34292950040449216,-0.17148448765872645,-0.1685424112180462,-0.1242561663652591
