family,file_name,free_ener_barr,free_ener_reac,labels,E$_{p}$(LA),E$_{p}$(LA)$^2$,E$_{p}$(LB),E$_{p}$(LB)$^2$,EF$_{la}$(ESP),EF$_{la}$(ESP)$^2$,EF$_{la}$(NPA),EF$_{la}$(NPA)$^2$,EF$_{lb}$(ESP),EF$_{lb}$(ESP)$^2$,EF$_{lb}$(NPA),EF$_{lb}$(NPA)$^2$,EP(ESP),EP(ESP)$^2$,EP(NPA),EP(NPA)$^2$,FEHA,FEHA$^2$,FEPA,FEPA$^2$,Mw,Mw$^2$,d,d$^2$,q$_{la}$(ESP),q$_{la}$(ESP)$^2$,q$_{la}$(NPA),q$_{la}$(NPA)$^2$,q$_{lb}$(ESP),q$_{lb}$(ESP)$^2$,q$_{lb}$(NPA),q$_{lb}$(NPA)$^2$,Φ,Φ$^2$,γ,γ$^2$,λ,λ$^2$
II,4meborinane_dimethylaniline.log,11.44144995,6.7,52,0.15261,0.023289812099999998,-0.31634,0.1000709956,0.1231607754293537,0.015168576604359696,0.5743530980704846,0.32988148126316374,-0.08486831214548901,0.007202630406424158,-0.22137407196140704,0.049006479736774224,-0.03797450293363519,0.0014420628730566676,-0.4619339050783152,0.21338293266090194,-39.02227674,1522.7380819731452,-189.2726436,35824.13361533263,257.228,66166.243984,3.0745958388986674,9.453139572573,0.291064,0.084718252096,1.35736,1.8424261695999997,-0.200568,0.040227522624,-0.52317,0.2737068489,101.90187382978084,10383.991890020574,85.6987277948718,7344.271945659532,120.2311713339254,14455.534560327726
I,4meborinane_metriazole.log,25.47194604,4.9,35,0.11135,0.012398822500000002,-0.47118,0.22201059239999998,0.08100019461362913,0.006561031527445794,0.7294768347401753,0.532136452422545,-0.08328358200245702,0.006936155031159982,-0.15912598636406483,0.025321079536336548,-0.014602984272646228,0.0002132471496671531,-0.25127470573590127,0.06313897774266378,-46.47395799,2159.828771256285,-187.1127542,35011.182784309625,219.139,48021.901321000005,2.587192332376161,6.693564164706001,0.135545,0.018372447025,1.2207,1.4901084899999997,-0.139366,0.019422881955999997,-0.26628,0.07090503840000001,90.07096172319267,8112.778145740838,115.13683267487932,13256.490238403157,251.4450659784598,63224.62120491201
V,bicyclo_biphenylene.log,20.58364314,16.1,88,0.12385,0.0153388225,-0.33148,0.1098789904,0.08672834682613922,0.007521806143195094,0.2948301925152973,0.08692484241860726,-0.055240825073408904,0.003051548754790962,-0.13363093415261848,0.017857226562501455,-0.03685994415376987,0.0013586554830190337,-0.30311847587563795,0.09188081041716971,-42.63736185,1817.9446255278353,-187.7139088,35236.51155697472,315.26699999999994,99393.28128899996,3.948278798059858,15.588905467208997,0.338,0.11424400000000001,1.14902,1.3202469603999998,-0.215286,0.046348061796000005,-0.52079,0.27122222409999996,142.34125890672897,20261.03398715245,49.7011477758949,2470.204090241343,100.3331599521135,10066.742985976392
VIII,bicyclo_dibenzofuran.log,57.30803838,33.9,112,0.11946,0.0142706916,-0.33748,0.1138927504,0.05551274661972141,0.003081665037265391,0.14572943725002643,0.02123706888120939,-0.0520688339179825,0.0027111634655784447,-0.07108204813424064,0.005052657566958503,-0.06225619642101321,0.003875833992811778,-0.22311010320963195,0.049778118154212625,-42.79549437,1831.4543383727016,-183.6507815,33727.60954556074,331.266,109737.16275600002,5.5646006368142,30.964780247233,0.429735,0.184672170225,1.12812,1.2726547344,-0.403075,0.162469455625,-0.55026,0.3027860676,120.17048783672715,14440.946146916987,6.876479171248835,47.285965792619066,186.99709483723336,34967.91347756525
II,bicyclo_dimethylaniline.log,18.70989828,12.7,56,0.12039,0.0144937521,-0.32266,0.1041094756,0.1253281414734611,0.01570714304519188,0.5221108548841489,0.27259974478785676,-0.1040610439739043,0.010828700872938843,-0.23067479757778012,0.05321086223754983,-0.045032676041747884,0.002027941911481014,-0.41586641453973816,0.17294487474213735,-37.54825575,1409.8715098674083,-189.7137832,35991.3195360566,241.185,58170.204225,3.0229223261304616,9.138059389818,0.286314,0.08197570659600001,1.19277,1.4227002729000002,-0.237729,0.056515077441,-0.52698,0.27770792040000003,119.3920357498313,14254.458200488994,69.47361872026,4826.583698088061,124.58133711445771,15520.509557226158
I,bicyclo_metriazole.log,31.30465149,9.9,39,0.10527,0.0110817729,-0.47346,0.2241643716,0.05281694032504427,0.0027896291852992873,0.6361452322521618,0.40468075651715685,-0.16254863009090906,0.026422057144431185,-0.14425200846890038,0.020808641947311707,-0.018449622892007075,0.0003403885848572715,-0.19720098787560372,0.038888229619114006,-39.09255786,1528.2280800374476,-186.3503296,34726.44534202864,203.09599999999998,41247.98521599999,2.5809146489725303,6.661120425280999,0.087955,0.007736082025000001,1.05936,1.1222436096000001,-0.270689,0.07327253472100001,-0.24022,0.0577056484,45.374728834930096,2058.8660168434367,172.1364898558624,29630.97113989742,224.83372848908,50550.20546630134
VI,bicyclo_naphtoxanthene.log,32.81820561,24.0,101,0.11938,0.0142515844,-0.34735,0.1206520225,0.0964686268618282,0.00930619596860664,0.22421576358567769,0.05027270864030851,-0.030072879241250024,0.0009043780658588066,-0.10043088552658443,0.010086362767653905,-0.036316980894861225,0.0013189231013177153,-0.281891554775579,0.07946284865379324,-40.62242724,1650.181594869094,-193.3000028,37364.891082480004,405.348,164307.00110400002,4.643864498325183,21.565477478805,0.520098,0.27050192960399994,1.20883,1.4612699689000002,-0.162134,0.026287433956,-0.54146,0.2931789316000001,157.06723099730374,24670.11505316037,36.24883954508868,1313.9783683655849,74.4064604271394,5536.3213532954605
VI,bicyclo_xanthene.log,23.40241806,19.1,95,0.12463,0.0155326369,-0.33084,0.10945510560000002,0.0977288699687209,0.00955093202536316,0.27324333966127473,0.07466192266924675,-0.020943635810266613,0.00043863588095308207,-0.11828163446536276,0.013990545051797691,-0.01972350780966874,0.0003890167603180638,-0.3114412285802641,0.0969956388595843,-38.60247255,1490.1508869735037,-192.7929747,37169.13109367484,373.347,139387.982409,4.255981482099752,18.113378375976005,0.44255,0.1958505025,1.23734,1.5310102756000004,-0.09484,0.008994625599999998,-0.53562,0.2868887844,168.2431217314875,28305.748009956118,20.74673022360835,430.4268149711841,56.651929393022115,3209.441103951963
II,borole_dimethylaniline.log,13.52101809,2.3,41,0.08453,0.007145320899999999,-0.31818,0.10123851240000001,0.3003752880471543,0.09022531366941092,0.3655529092132914,0.13362892943430088,-0.1476753854801677,0.021808019476716126,-0.22610988301446713,0.051125679196816015,-0.1514964012882853,0.022951159603301168,-0.2822927944707443,0.07968922181010188,-48.67902813,2369.647779681331,-188.2510573,35438.460574567885,183.061,33511.329721,3.0118961732412024,9.071518558385,0.681215,0.464053876225,0.82903,0.6872907409000001,-0.33491,0.1121647081,-0.51279,0.26295358409999997,126.97147656583437,16121.755861308226,57.95546283551027,3358.835672478212,132.42844933495797,17537.294193261532
I,ccl3_metriazole.log,13.36163055,-25.1,30,0.00251,6.3001e-06,-0.49151,0.2415820801,0.34292950040449216,0.1176006422476746,0.589360450504167,0.3473457406184746,-0.17148448765872645,0.029406929507575907,-0.1353442938836196,0.01831807788685559,-0.1242561663652591,0.015439594879790948,-0.1685424112180462,0.028406544379192985,-86.32084299,7451.287934504233,-188.574225,35560.23833435063,329.618,108648.025924,2.566410263588813,6.586461641054,0.564673,0.31885559692899995,0.97045,0.9417732025000001,-0.282369,0.079732252161,-0.22286,0.0496665796,75.12900129069617,5644.366834937427,101.10427467854166,10222.074358274,189.99415628278007,36097.77942160545
