labels,family,file_name,free_ener_reac,free_ener_barr,FEHA,FEPA,E$_{p}$(LA),E$_{p}$(LB),d,Mw,γ,λ,Φ,q$_{la}$(NPA),q$_{lb}$(NPA),q$_{la}$(ESP),q$_{lb}$(ESP),EF$_{la}$(NPA),EF$_{lb}$(NPA),EF$_{la}$(ESP),EF$_{lb}$(ESP),EP(NPA),EP(ESP)
1,intra_B_N,4meborinane_fmetriazole.log,8.2,27.7,-45.8157,-182.5306762,0.11329,-0.47946,2.5845673212284486,237.12940316300003,10.383931838771675,215.71935506421272,167.52954443876737,1.23365,-0.25471,0.299993,-0.153236,0.7387138755659698,-0.15252122664078804,0.17963684324781098,-0.09175824539879784,-0.2431532650893763,-0.035572474332880244
2,intra_B_N,4meborinane_fnmeimidazole.log,12.0,30.1,-39.54750261,-187.8249781,0.11216,-0.4558,2.6033914054334977,236.14140316300004,16.723863850367128,206.92898288708494,163.04329901391532,1.20319,-0.54323,0.177278,-0.55571,0.7100930654841335,-0.32060094911273024,0.10462510365187229,-0.3279663373367364,-0.5021211196563552,-0.07568217147401697
10,intra_B_N,BN_aniline_C5F5_C5F5_Me_Me.log,-4.2,15.4,-64.24378617,-179.8919966,0.04992,-0.32631,3.0079192873842207,465.10103162999997,60.92239336355078,128.31534917429173,125.3511742569102,0.91297,-0.51472,0.934587,-0.308124,0.403630653710576,-0.227561442410931,0.41318768607884826,-0.13622385351535923,-0.3124577979009937,-0.19147367816403507
11,intra_B_N,BN_aniline_C5F5_C5F5_Ph_Ph.log,0.7,16.3,-75.21830856,-174.7200592,0.06661,-0.44888,2.7010238726908726,589.2430316299999,32.086501939705585,186.60199924123992,58.2098744251325,0.96179,-0.54295,0.975516,-0.580156,0.5273311220222688,-0.29768913453247686,0.5348568261581796,-0.31808847505999377,-0.38667105891201087,-0.4190643897805876
9,intra_B_N,BN_aniline_C5F5_C5F5_isopropyldimethylhydroquinoline19.log,-6.0,20.1,-68.55289734,-180.2076342,0.05801,-0.33894,3.136627708217378,623.3450316300001,83.41558271592085,115.14945244457716,111.64237660159992,0.96231,-0.60342,1.058003,-0.67727,0.3912452167274647,-0.24533174203498534,0.43015100438871867,-0.2753568475158837,-0.3702556721530799,-0.4568943199301361
12,intra_B_N,BN_aniline_C5F5_C5F5_tetramethylpentane15.log,-12.8,16.9,-68.02076886,-191.5994507,0.05496,-0.31116,3.0465950082927002,561.2740316300001,94.91715201515349,102.57093274879784,108.41721153264909,0.991,-0.66301,1.004723,-1.039742,0.42707504316965916,-0.2857265634429018,0.4329890197765383,-0.44808058479849416,-0.43132934191223815,-0.6857837675322781
13,intra_B_N,BN_aniline_Cl_Cl_tetramethylpentane15.log,-9.8,15.0,-63.42927819,-193.3571062,-0.01997,-0.32668,2.7153318991788096,298.058,179.88634284737174,68.08084020294682,111.91919767441891,0.65159,-0.62162,0.380469,-0.69718,0.3534993003452291,-0.33724003603585273,0.2064112790298331,-0.3782326957361022,-0.29833655025560274,-0.19537602567127835
14,intra_B_N,BN_aniline_H_H_tetramethylpentane15.log,-8.9,9.3,-53.34519249,-200.5075827,0.05975,-0.29866,2.9636875567395764,229.174,89.81588261861356,128.73662661013196,90.2104345725508,0.46451,-0.64858,0.56728,-0.757936,0.21153889225767003,-0.29536478168495756,0.25834057996583726,-0.34516574851393816,-0.2033088104141696,-0.29015334838670476
16,intra_B_N,BN_aniline_Ph_Ph_tetramethylpentane15.log,1.4,16.9,-44.16848625,-200.2001028,0.10104,-0.2958,3.025680940997249,381.3699999999999,102.0979869932891,92.62685371084072,111.09865210100503,1.04137,-0.6626,0.350973,-1.136483,0.4550077504828278,-0.2895110628018108,0.1533512922498339,-0.4965656522580597,-0.45610345271406944,-0.26365955679882946
15,intra_B_N,BN_aniline_mesityl_mesityl_tetramethylpentane15.log,7.8,19.7,-39.93279375,-202.3888577,0.07749,-0.31272,3.1774156810195606,465.5319999999999,105.12205310285592,108.42853010128482,98.62496892878656,1.1752,-0.66753,0.644093,-1.204375,0.46561150727512113,-0.2644738337741334,0.2551881488728341,-0.47717057443369126,-0.4937857269894745,-0.4882770054348608
