,file_name,free_ener_barr,free_ener_reac,labels,family,EF_la(ESP),EF_la(ESP)$^2$,EF_la(NPA),EF_la(NPA)$^2$,EF_lb(ESP),EF_lb(ESP)$^2$,EF_lb(NPA),EF_lb(NPA)$^2$,EP(ESP),EP(ESP)$^2$,EP(NPA),EP(NPA)$^2$,E_p(LA),E_p(LA)$^2$,E_p(LB),E_p(LB)$^2$,FEHA,FEHA$^2$,FEPA,FEPA$^2$,Mw,Mw$^2$,d,d$^2$,q_la(ESP),q_la(ESP)$^2$,q_la(NPA),q_la(NPA)$^2$,q_lb(ESP),q_lb(ESP)$^2$,q_lb(NPA),q_lb(NPA)$^2$,Φ,Φ$^2$,γ,γ$^2$,λ,λ$^2$
0,4meborinane_dimethylaniline.log,11.44144995,6.7,52,II,0.020381977092925593,0.00041542499021654365,0.09505016225590758,0.009034533344874357,-0.014044926138491537,0.00019725995023568279,-0.03663537557274649,0.00134215074335619,-0.015448241325117327,0.00023864816003906275,-0.1879173100533995,0.03531291541770548,0.15261,0.023289812099999998,-0.31634,0.1000709956,-39.02227674,1522.7380819731452,-189.2726436,35824.13361533263,257.228,66166.243984,3.0745958388986674,9.453139572573,0.291064,0.084718252096,1.35736,1.8424261695999997,-0.200568,0.040227522624,-0.52317,0.2737068489,78.09812617021917,6099.317311299473,85.69872779487179,7344.27194565953,120.2311713339254,14455.534560327726
1,4meborinane_metriazole.log,25.47194604,4.9,35,I,0.008852598186304657,7.83684946481645e-05,0.07972530603137036,0.0063561244217956595,-0.009102152044210667,8.284917183592843e-05,-0.017391049799322766,0.00030244861312252446,-0.0048276298337016285,2.3306009811246013e-05,-0.0830694085001171,0.006900526628559327,0.11135,0.012398822500000002,-0.47118,0.22201059239999998,-46.47395799,2159.828771256285,-187.1127542,35011.182784309625,219.139,48021.901321000005,2.587192332376161,6.693564164706001,0.135545,0.018372447025,1.2207,1.4901084899999997,-0.139366,0.019422881955999997,-0.26628,0.07090503840000001,90.07096172319267,8112.778145740838,64.86316732512068,4207.230475446604,108.55493402154018,11784.17370042094
2,bicyclo_biphenylene.log,20.58364314,16.1,88,V,0.02002431676839709,0.00040097326204110886,0.06807201317521781,0.0046337989777270275,-0.012754304910654247,0.00016267229375393905,-0.03085344357932994,0.0009519349807028958,-0.01771140411146077,0.00031369383559946953,-0.14565008013812777,0.02121394584424304,0.12385,0.0153388225,-0.33148,0.1098789904,-42.63736185,1817.9446255278353,-187.7139088,35236.51155697472,315.26699999999994,99393.28128899996,3.948278798059858,15.588905467208997,0.338,0.11424400000000001,1.14902,1.3202469603999998,-0.215286,0.046348061796000005,-0.52079,0.27122222409999996,37.65874109327106,1418.1807807300224,49.701147775894896,2470.2040902413423,100.3331599521135,10066.742985976392
3,bicyclo_dibenzofuran.log,57.30803838,33.9,112,VIII,0.026669276668164436,0.0007112503180031,0.070010923929607,0.004901529469477219,-0.025014761871898685,0.0006257383115077963,-0.03414903645135761,0.001166156690556151,-0.04315109733115569,0.0018620172008828719,-0.15464237028000458,0.023914262685818043,0.11946,0.0142706916,-0.33748,0.1138927504,-42.79549437,1831.4543383727016,-183.6507815,33727.60954556074,331.266,109737.16275600002,5.564600636814201,30.964780247233012,0.429735,0.184672170225,1.12812,1.2726547344,-0.403075,0.162469455625,-0.55026,0.3027860676,120.17048783672712,14440.94614691698,6.876479171248676,47.285965792616885,120.52881708952206,14527.195748999466
4,bicyclo_dimethylaniline.log,18.70989828,12.7,56,II,0.01839261120736511,0.00033828814702529267,0.07662271097399667,0.00587103983700463,-0.01527154477152951,0.00023322007970883032,-0.03385282680573519,0.001146013882739103,-0.017251432014636785,0.000297611906555635,-0.15931301020068345,0.025380635219203068,0.12039,0.0144937521,-0.32266,0.1041094756,-37.54825575,1409.8715098674083,-189.7137832,35991.3195360566,241.185,58170.204225,3.0229223261304616,9.138059389818,0.286314,0.08197570659600001,1.19277,1.4227002729000002,-0.237729,0.056515077441,-0.52698,0.27770792040000003,60.6079642501687,3673.325330549727,69.47361872026,4826.583698088061,124.5813371144577,15520.509557226154
5,bicyclo_metriazole.log,31.30465149,9.9,39,I,0.005485138930691533,3.0086749088987853e-05,0.06606488292442024,0.004364568755817353,-0.016880982002273438,0.00028496755336107973,-0.014980843316817916,0.00022442566648304802,-0.005945586340337131,3.534999693040348e-05,-0.06355010650771235,0.004038616037141584,0.10527,0.0110817729,-0.47346,0.2241643716,-39.09255786,1528.2280800374476,-186.3503296,34726.44534202864,203.09599999999998,41247.98521599999,2.5809146489725303,6.661120425280999,0.087955,0.007736082025000001,1.05936,1.1222436096000001,-0.270689,0.07327253472100001,-0.24022,0.0577056484,45.37472883493011,2058.866016843438,7.863510144137763,61.8347917869575,135.16627151091998,18269.92095416374
6,bicyclo_naphtoxanthene.log,32.81820561,24.0,101,VI,0.020697850751766386,0.00042840102574239635,0.04810667013573935,0.002314251711548836,-0.006452294247981902,4.163210106254034e-05,-0.021547974166505984,0.00046431519068040926,-0.01682206530658954,0.0002829818811791634,-0.13057247675788589,0.01704917168668865,0.11938,0.0142515844,-0.34735,0.1206520225,-40.62242724,1650.181594869094,-193.3000028,37364.891082480004,405.348,164307.00110400002,4.6438644983251836,21.565477478805008,0.520098,0.27050192960399994,1.20883,1.4612699689000002,-0.162134,0.026287433956,-0.54146,0.2931789316000001,22.932769002696304,525.9118941310285,36.24883954508866,1313.9783683655833,74.40646042713941,5536.321353295462
7,bicyclo_xanthene.log,23.40241806,19.1,95,VI,0.023112604032345895,0.0005341924651560118,0.0646212845404652,0.004175910415659767,-0.004953111210999174,2.453331066852571e-05,-0.027973275272410142,0.0007825041294660327,-0.009591734685241054,9.20013742720563e-05,-0.15145691442994785,0.022939196928640545,0.12463,0.0155326369,-0.33084,0.10945510560000002,-38.60247255,1490.1508869735037,-192.7929747,37169.13109367484,373.347,139387.982409,4.255981482099752,18.113378375976005,0.44255,0.1958505025,1.23734,1.5310102756000004,-0.09484,0.008994625599999998,-0.53562,0.2868887844,11.756878268512471,138.2241866206208,20.74673022360838,430.4268149711855,56.65192939302213,3209.4411039519646
8,borole_dimethylaniline.log,13.52101809,2.3,41,II,0.04244451276400284,0.0018015366637735997,0.05165443276607425,0.0026681804243848853,-0.02086726183333043,0.0004354426164207689,-0.03195044398648446,0.0010208308709334808,-0.05694832995663406,0.0032431122848496645,-0.10611541308699945,0.011260480894624536,0.08453,0.007145320899999999,-0.31818,0.10123851240000001,-48.67902813,2369.647779681331,-188.2510573,35438.460574567885,183.061,33511.329721,3.011896173241203,9.071518558385002,0.681215,0.464053876225,0.82903,0.6872907409000001,-0.33491,0.1121647081,-0.51279,0.26295358409999997,126.97147656583437,16121.755861308226,57.95546283551027,3358.835672478212,132.42844933495797,17537.294193261532
9,ccl3_metriazole.log,13.36163055,-25.1,30,I,0.055559789511060775,0.003086890210513379,0.09548534768088598,0.00911745162173968,-0.027783092523369666,0.0007719002301621195,-0.021927832020364007,0.00048082981711330107,-0.05001448748704558,0.002501448958591839,-0.06784019307438002,0.0046022917963691595,0.00251,6.3001e-06,-0.49151,0.2415820801,-86.32084299,7451.287934504233,-188.574225,35560.23833435063,329.618,108648.025924,2.566410263588813,6.586461641054,0.564673,0.31885559692899995,0.97045,0.9417732025000001,-0.282369,0.079732252161,-0.22286,0.0496665796,104.87099870930383,10997.926370286807,78.89572532145836,6224.535473999005,144.97817659761685,21018.67168956978
10,cf3_benzopiperidine.log,27.17689071,-9.2,73,II,-0.005177576433550326,2.6807297725255717e-05,0.02784203795335355,0.0007751790773959795,-0.008488496594286883,7.205457443122002e-05,-0.03262227449409539,0.0010642127931681066,0.002888491819440334,8.343384990973732e-06,-0.05969378308998711,0.003563347739594431,0.09391,0.008819088099999999,-0.42398,0.17975904040000001,-66.5486304,4428.720208115803,-163.0282929,26578.22428588819,309.06241897799987,95519.57882453273,1.7278106932864492,2.9853297918350004,-0.084321,0.007110031040999999,0.45343,0.2055987649,-0.138242,0.019110850564,-0.53128,0.2822584384,47.19858651943649,2227.706569432732,0.536392358548786,0.28771676230952936,47.19913159386148,2227.758023214653
11,cf3_dibenzofuran.log,34.49114727,-11.5,110,VIII,0.008795204040829448,7.735561411982266e-05,0.04514238871416184,0.0020378352588204863,-0.02360378270555135,0.000557138558010885,-0.03404536795159113,0.0011590870789592285,-0.013337810090057219,0.00017789717799843215,-0.09874146597456115,0.009749877102805418,0.00909,8.262810000000002e-05,-0.33301,0.11089566009999999,-89.58703254,8025.836399323018,-184.5343156,34052.91363396041,359.0784189779999,128937.31097574002,5.604062657961186,31.405518274354993,0.141086,0.019905259395999998,0.72414,0.5243787396,-0.378634,0.143363705956,-0.54613,0.2982579769,126.06702148817313,15892.893906899504,6.568596270396864,43.14645696347159,126.43856290220756,15986.7101887755
12,cf3_metriazole.log,14.36752908,-25.5,37,I,0.0003273110699424196,1.0713253650685149e-07,0.05589544726222112,0.0031243010246437427,-0.02256927577325069,0.0005093722089290405,-0.01665566237037547,0.00027741108899594145,-0.00029638428600557064,8.784364499103189e-08,-0.0373521152825911,0.0013951805160839757,0.00842,7.089640000000001e-05,-0.50602,0.2560562404,-87.97997943,7740.476780503223,-169.6824089,28792.119890106802,230.90841897800001,53318.6979549196,2.536595242601586,6.434315424788999,0.003836,1.4714896e-05,0.65508,0.4291298064,-0.264506,0.069963424036,-0.1952,0.038103040000000005,89.72408031097548,8050.410587650378,89.65667050530612,8038.318566097029,152.95078246226643,23393.94185581955
