Combination,Num_Predictors,LVs,R2,Q2,R2+Q2,RMSE
['d$^2$'],1,1,0.232099287618305,0.19573901533523141,0.4278383029535364,10.626688190647485
"['d$^2$', 'd']",2,2,0.5713515288016449,0.5401822102540811,1.111533739055726,8.0351191620551
"['d$^2$', 'd', 'λ$^2$']",3,3,0.6573248748712794,0.6246838165894304,1.2820086914607098,7.259355797767595
"['d$^2$', 'd', 'λ$^2$', 'FEHA$^2$']",4,4,0.7440043756335791,0.7158736338169615,1.4598780094505406,6.316190287858044
"['d$^2$', 'd', 'λ$^2$', 'λ', 'FEHA$^2$']",5,5,0.772715399494106,0.7426321074053255,1.5153475068994315,6.011413748414668
"['d$^2$', 'd', 'λ$^2$', 'q_la(NPA)', 'λ', 'FEHA$^2$']",6,6,0.7938306277426751,0.7601208701678945,1.5539514979105697,5.80357591106342
"['d$^2$', 'd', 'λ$^2$', 'q_la(NPA)', 'EF_lb(NPA)', 'FEHA$^2$', 'EF_lb(ESP)']",7,7,0.8077214726612946,0.7738776367333122,1.581599109394607,5.634705143085256
"['d$^2$', 'd', 'λ$^2$', 'E_p(LB)', 'E_p(LB)$^2$', 'EF_lb(NPA)', 'FEHA$^2$', 'EF_lb(ESP)']",8,8,0.8608223622434508,0.8291958172830753,1.690018179526526,4.897209551356897
"['d$^2$', 'd', 'λ$^2$', 'E_p(LB)', 'E_p(LB)$^2$', 'EF_lb(NPA)', 'FEHA$^2$', 'EF_lb(ESP)', 'q_la(ESP)$^2$']",9,9,0.8809306261044549,0.8509828734432163,1.7319134995476713,4.574225066043661
"['d$^2$', 'd', 'λ$^2$', 'E_p(LB)', 'E_p(LB)$^2$', 'EF_lb(NPA)', 'FEHA$^2$', 'EF_lb(ESP)', 'q_la(ESP)$^2$', 'EF_lb(ESP)$^2$']",10,10,0.8810111221750323,0.8489086403052907,1.729919762480323,4.605950345964212
"['d$^2$', 'd', 'γ', 'γ$^2$', 'E_p(LB)', 'E_p(LB)$^2$', 'λ', 'EF_lb(NPA)', 'FEHA$^2$', 'EF_lb(ESP)', 'q_la(ESP)$^2$']",11,11,0.8961919366086488,0.8585966684275035,1.7547886050361523,4.455836615761086
"['d$^2$', 'd', 'γ', 'γ$^2$', 'λ$^2$', 'E_p(LB)', 'E_p(LB)$^2$', 'q_la(NPA)', 'EF_lb(NPA)', 'FEHA$^2$', 'EF_lb(ESP)', 'q_la(ESP)$^2$']",12,12,0.8978034807991617,0.8553814184431722,1.753184899242334,4.506210610296738
"['d$^2$', 'd', 'γ', 'γ$^2$', 'λ$^2$', 'E_p(LB)', 'E_p(LB)$^2$', 'q_la(NPA)', 'q_la(NPA)$^2$', 'EF_lb(NPA)', 'FEHA$^2$', 'EF_lb(ESP)', 'q_la(ESP)$^2$']",13,13,0.9077934978725763,0.8688371643564166,1.776630662228993,4.291457695165397
"['d$^2$', 'd', 'γ', 'γ$^2$', 'λ$^2$', 'E_p(LB)', 'E_p(LB)$^2$', 'q_la(NPA)', 'q_la(NPA)$^2$', 'λ', 'EF_lb(NPA)', 'FEHA$^2$', 'EF_lb(ESP)', 'q_la(ESP)$^2$']",14,14,0.9078450744446056,0.8658633709735796,1.773708445418185,4.339834130564291
"['d$^2$', 'd', 'γ', 'γ$^2$', 'λ$^2$', 'E_p(LB)', 'E_p(LB)$^2$', 'q_la(NPA)', 'q_la(NPA)$^2$', 'λ', 'EF_lb(NPA)', 'FEHA$^2$', 'EF_lb(ESP)', 'q_la(ESP)$^2$', 'EF_lb(ESP)$^2$']",15,14,0.9079303126522583,0.8624175249704522,1.7703478376227104,4.395223822290975
