Combination,Num_Predictors,LVs,R2,Q2,R2+Q2,RMSE
['FEHA$^2$'],1,1,0.628112172164548,0.6182893054030361,1.246401477567584,8.739815785642266
"['FEHA$^2$', 'd$^2$']",2,2,0.7613846814165648,0.7479725687754206,1.5093572501919854,7.101646022049197
"['FEHA$^2$', 'd', 'FEPA']",3,3,0.876878419172192,0.8612090883998675,1.7380875075720597,5.270060840716709
"['FEHA$^2$', 'd', 'EF_lb(NPA)', 'FEPA']",4,4,0.8903262664480386,0.872790051078721,1.7631163175267597,5.045400593726119
"['FEHA$^2$', 'd$^2$', 'EF_lb(ESP)$^2$', 'FEPA$^2$', 'EF_lb(NPA)$^2$']",5,5,0.9095617379580352,0.8934082297777114,1.8029699677357467,4.618457507959879
"['FEHA$^2$', 'd$^2$', 'q_la(ESP)', 'EF_lb(NPA)', 'FEPA$^2$', 'EF_lb(ESP)']",6,6,0.9151504456250815,0.8992797542960473,1.8144301999211288,4.489453763184224
"['FEHA$^2$', 'FEHA', 'd$^2$', 'q_la(ESP)', 'EF_lb(ESP)$^2$', 'FEPA$^2$', 'EF_lb(NPA)$^2$']",7,6,0.9203295587990497,0.9032509898652361,1.8235805486642858,4.400057784984387
"['FEHA$^2$', 'd$^2$', 'q_la(ESP)', 'E_p(LA)', 'EF_lb(ESP)$^2$', 'FEPA$^2$', 'λ$^2$', 'EF_lb(NPA)$^2$']",8,8,0.9260531322143325,0.9015427003991208,1.8275958326134534,4.438733540994925
"['FEHA$^2$', 'd$^2$', 'q_la(ESP)', 'E_p(LA)', 'EF_lb(ESP)$^2$', 'EF_lb(NPA)', 'FEPA$^2$', 'λ$^2$', 'EF_lb(NPA)$^2$']",9,9,0.9272070295014315,0.9013144255367403,1.8285214550381719,4.443876200108313
"['FEHA$^2$', 'd$^2$', 'q_la(ESP)', 'E_p(LA)', 'EF_lb(ESP)$^2$', 'EF_lb(NPA)', 'FEPA', 'FEPA$^2$', 'λ$^2$', 'EF_lb(NPA)$^2$']",10,9,0.9271455505606234,0.9011834395836742,1.8283289901442976,4.446824413863358
"['FEHA$^2$', 'd$^2$', 'q_la(ESP)', 'E_p(LA)', 'EF_lb(ESP)$^2$', 'EF_lb(NPA)', 'FEPA', 'FEPA$^2$', 'λ$^2$', 'EF_lb(NPA)$^2$', 'γ']",11,10,0.9275309198531583,0.9001503928717585,1.8276813127249167,4.470007945139824
"['FEHA$^2$', 'FEHA', 'd$^2$', 'd', 'q_la(ESP)', 'EF_lb(ESP)$^2$', 'FEPA', 'FEPA$^2$', 'EF_lb(ESP)', 'E_p(LA)$^2$', 'EF_lb(NPA)$^2$', 'γ']",12,8,0.9241267716080072,0.9008985140154482,1.8250252856234552,4.453230738682086
"['FEHA$^2$', 'd$^2$', 'd', 'q_la(ESP)', 'E_p(LA)', 'EF_lb(ESP)$^2$', 'EF_lb(NPA)', 'FEPA', 'FEPA$^2$', 'EF_lb(ESP)', 'E_p(LA)$^2$', 'λ$^2$', 'EF_lb(NPA)$^2$']",13,7,0.9237394075531856,0.8988065553466436,1.822545962899829,4.49998747187294
"['FEHA$^2$', 'd$^2$', 'd', 'q_la(ESP)', 'E_p(LA)', 'EF_lb(ESP)$^2$', 'EF_lb(NPA)', 'FEPA', 'FEPA$^2$', 'EF_lb(ESP)', 'E_p(LA)$^2$', 'λ$^2$', 'EF_lb(NPA)$^2$', 'γ']",14,7,0.9237478521586355,0.8961738816358554,1.8199217337944908,4.5581480150760365
"['FEHA$^2$', 'FEHA', 'd$^2$', 'd', 'q_la(ESP)', 'E_p(LA)', 'EF_lb(ESP)$^2$', 'EF_lb(NPA)', 'FEPA', 'FEPA$^2$', 'EF_lb(ESP)', 'E_p(LA)$^2$', 'λ$^2$', 'EF_lb(NPA)$^2$', 'γ']",15,7,0.9252326924626157,0.8904968230707712,1.8157295155333868,4.681105988724341
