Combination,Num_Predictors,LVs,R2,Q2,R2+Q2,RMSE
['FEHA'],1,1,0.6165857785423805,0.6037915097853359,1.2203772883277164,8.90424300276823
"['FEHA', 'd']",2,2,0.7450914093350323,0.7288142875978756,1.4739056969329078,7.366624230994551
"['FEHA', 'd', 'FEPA']",3,3,0.868020818806455,0.8475424394073311,1.715563258213786,5.5234394582063935
"['FEHA', 'd', 'FEPA', 'EF_la(ESP)']",4,4,0.8824684965284868,0.8603471570503667,1.7428156535788535,5.2863998068824065
"['FEHA', 'd', 'FEPA', 'EF_lb(ESP)', 'EF_lb(NPA)']",5,5,0.9011891872777531,0.881781559683769,1.7829707469615221,4.863822612681096
"['FEHA', 'd', 'FEPA', 'q_la(ESP)', 'EF_lb(ESP)', 'EF_lb(NPA)']",6,6,0.9115063090182339,0.8934970659154982,1.8050033749337322,4.61653254016988
"['FEHA', 'd', 'FEPA', 'q_la(ESP)', 'EF_lb(ESP)', 'EF_lb(NPA)', 'q_lb(NPA)']",7,7,0.9184226960071453,0.8992714900403146,1.81769418604746,4.489637942803237
"['FEHA', 'd', 'FEPA', 'q_la(ESP)', 'EF_lb(ESP)', 'EF_lb(NPA)', 'EP(ESP)', 'q_lb(NPA)']",8,8,0.9192839033576197,0.8994426617156641,1.8187265650732838,4.485821617062869
"['FEHA', 'd', 'FEPA', 'q_la(ESP)', 'EF_lb(ESP)', 'EF_lb(NPA)', 'EP(ESP)', 'γ', 'q_lb(NPA)']",9,9,0.9200657814573322,0.8988453338043887,1.818911115261721,4.499125166534549
"['FEHA', 'd', 'FEPA', 'q_la(ESP)', 'EF_lb(ESP)', 'EF_lb(NPA)', 'EF_la(ESP)', 'EP(ESP)', 'γ', 'q_lb(NPA)']",10,10,0.9206749884254528,0.8981773061681448,1.8188522945935977,4.513956880274812
"['FEHA', 'd', 'FEPA', 'q_la(ESP)', 'EF_lb(ESP)', 'EF_lb(NPA)', 'q_lb(ESP)', 'λ', 'EP(ESP)', 'γ', 'q_lb(NPA)']",11,11,0.9231297138434494,0.8960485562799203,1.8191782701233699,4.560898186469616
"['FEHA', 'd', 'FEPA', 'q_la(ESP)', 'EF_lb(ESP)', 'EF_lb(NPA)', 'q_lb(ESP)', 'EF_la(ESP)', 'λ', 'EP(ESP)', 'γ', 'q_lb(NPA)']",12,12,0.9233803829362048,0.8939756027156519,1.8173559856518566,4.606149409034972
"['FEHA', 'd', 'FEPA', 'q_la(ESP)', 'EF_lb(ESP)', 'EF_lb(NPA)', 'q_lb(ESP)', 'EF_la(ESP)', 'λ', 'EP(ESP)', 'EF_la(NPA)', 'γ', 'q_lb(NPA)']",13,13,0.9234049011689142,0.8912745151378932,1.8146794163068074,4.66445375182592
"['FEHA', 'd', 'E_p(LA)', 'FEPA', 'q_la(ESP)', 'EF_lb(ESP)', 'EF_lb(NPA)', 'q_lb(ESP)', 'EF_la(ESP)', 'λ', 'EP(ESP)', 'EF_la(NPA)', 'γ', 'q_lb(NPA)']",14,14,0.9268108383367483,0.8785011450985967,1.8053119834353448,4.930843370401951
"['FEHA', 'd', 'E_p(LA)', 'FEPA', 'q_la(ESP)', 'EF_lb(ESP)', 'EF_lb(NPA)', 'E_p(LB)', 'q_lb(ESP)', 'EF_la(ESP)', 'λ', 'EP(ESP)', 'EF_la(NPA)', 'γ', 'q_lb(NPA)']",15,6,0.9146791995222792,0.854710497294467,1.7693896968167462,5.3920291761142005
